unique_id,case_id_fkey,latitude,longitude,collision_year,death_date,death_time,death_datetime,collision_date,collision_time,collision_datetime,location,age,sex,deceased,collision_type,street_type,on_vz_hin_2017,in_coc_2018,publish,on_vz_hin_2022,in_epa_2021,point,analysis_neighborhood,supervisor_district,police_district,data_as_of,data_loaded_at,age_category,collision_category,collision_hour,time_of_day,collision_year_clean,collision_month,collision_day,day_of_week,high_risk
20241454,240732138,37.72001799346312,-122.46123397039224,2024,2024-11-25,01:33:00,2024-11-25 01:33:00,2024-11-25,01:15:00,2024-11-25 01:15:00,Grafton Ave and Jules Ave,42.0,Female,Driver,Motor Vehicle Collision,City Street,False,True,True,False,False,POINT (-122.46123397 37.720017993),Oceanview/Merced/Ingleside,11.0,TARAVAL,2024-12-20 12:00:00,2025-04-08 04:35:01,Adult (35-64),Vehicle,1.0,Night (9pm-5am),2024,11,25,Monday,1
234,190956816,37.72526570859999,-122.46221250299998,2019,2019-12-21,,2019-12-21 12:00:00,2019-12-21,01:07:00,2019-12-21 01:07:00,Ocean Ave at Ashton Ave,66.0,Male,Driver,Motor Vehicle Collision,City Street,False,True,True,True,False,POINT (-122.462212503 37.725265709),Oceanview/Merced/Ingleside,11.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Vehicle,1.0,Night (9pm-5am),2019,12,21,Saturday,1
289,200649216,37.78827973250724,-122.42359407220243,2020,2020-10-27,19:44:00,2020-10-27 07:44:00,2020-10-27,19:03:00,2020-10-27 07:03:00,Franklin Street at Bush Street,30.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.423594072 37.788279733),Western Addition,2.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Motorcycle,19.0,Morning (5am-12pm),2020,10,27,Tuesday,0
278,200431392,37.74713195706157,-122.40169562533887,2020,2020-07-19,12:07:00,2020-07-19 12:07:00,2020-07-19,11:59:00,2020-07-19 11:59:00,Bayshore Boulevard and Jerrold Avenue,53.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.401695625 37.747131957),Bayview Hunters Point,10.0,BAYVIEW,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,11.0,Morning (5am-12pm),2020,7,19,Sunday,1
93,23881000,37.770049772562125,-122.40700149001546,2016,2016-02-06,21:32:00,2016-02-06 09:32:00,2016-02-06,21:20:00,2016-02-06 09:20:00,Brannan Street and 9th Street,31.0,Male,Passenger,Motor Vehicle Collision,City Street,True,True,True,True,False,POINT (-122.40700149 37.770049773),South of Market,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,21.0,Morning (5am-12pm),2016,2,6,Saturday,0
20240196,240084274,37.71984467271253,-122.47522912531122,2024,2024-02-08,01:29:00,2024-02-08 01:29:00,2024-02-08,01:06:00,2024-02-08 01:06:00,19th Ave and Crespi Dr,32.0,Male,Driver,Motor Vehicle Collision (solo),City Street,True,True,True,True,True,POINT (-122.475229125 37.719844673),West of Twin Peaks,7.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,1.0,Night (9pm-5am),2024,2,8,Thursday,1
131,170891038,37.73383602877292,-122.4933465334236,2017,2017-10-31,20:25:00,2017-10-31 08:25:00,2017-10-31,20:25:00,2017-10-31 08:25:00,1800 Block of Sloat Boulevard,47.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.493346533 37.733836029),Sunset/Parkside,4.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,20.0,Morning (5am-12pm),2017,10,31,Tuesday,1
20220999,220318297,37.712250862470974,-122.40191474827807,2022,2022-05-15,21:01:00,2022-05-15 09:01:00,2022-05-15,21:01:00,2022-05-15 09:01:00,Bayshore Blvd at Blanken St,62.0,Male,Pedestrian,Pedestrian vs LRV,City Street,False,False,True,True,False,POINT (-122.401914748 37.712250862),Bayview Hunters Point,10.0,BAYVIEW,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,21.0,Morning (5am-12pm),2022,5,15,Sunday,1
132,170914715,37.78193217360364,-122.46542291532748,2017,2017-11-09,17:55:00,2017-11-09 05:55:00,2017-11-09,12:19:00,2017-11-09 12:19:00,7th Avenue and Geary Boulevard,78.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.465422915 37.781932174),Inner Richmond,1.0,RICHMOND,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,12.0,Afternoon (12pm-5pm),2017,11,9,Thursday,1
14,140232854,37.76949595143363,-122.41559134729953,2014,2014-03-24,00:25:00,2014-03-24 12:25:00,2014-03-19,,2014-03-19 12:00:00,Cross of 13th St and Folsom St,55.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.415591347 37.769495951),Mission,9.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Bicycle,13.0,Afternoon (12pm-5pm),2014,3,19,Wednesday,0
